timestamp,Scott,Lester,Hiddleston,Hawke,Glover,Essiedu,Cumberbatch,Branagh
1,-61.44023032,-67.447129,-25.57784368,-34.55299086,-29.38750548,-69.44173569,-38.87679388,-81.33169537
2,-45.42014174,-42.85939245,-25.57784368,-33.1158505,-19.07570324,-45.59032455,-29.79055058,-62.92502676
3,-54.46418187,-39.59014447,-64.26876061,-35.5682249,-25.23867276,-42.45678668,-31.34033184,-68.78346318
4,-54.35391816,-38.27626495,-33.19999031,-39.5606469,-18.50604819,-38.10843458,-33.32870618,-68.86876818
5,-53.69861936,-35.09798467,-54.28908192,-40.42968888,-19.41350683,-46.76632331,-36.92009682,-70.20374046
6,-54.68358345,-38.49834171,-76.26238361,-43.63359952,-22.78421993,-47.75917758,-40.95137245,-66.90199737
7,-50.55734224,-36.37355792,-77.28007497,-44.39372912,-19.99998124,-40.87613461,-44.42650908,-68.86191082
8,-46.15761979,-41.87794028,-78.65638679,-37.68817417,-17.51236256,-40.92524862,-48.89078785,-68.38006695
9,-49.61213061,-45.99751505,-37.56592703,-36.17138698,-20.15013952,-43.29740334,-34.52624697,-71.39840147
10,-54.71932195,-41.45150108,-50.81639021,-35.70344051,-18.20368693,-46.09349405,-50.58385766,-68.16761568
11,-53.98300637,-41.72915311,-74.86161536,-34.6493635,-17.78455461,-43.70828258,-58.37120447,-70.96109195
12,-54.24057413,-44.13698872,-26.8206855,-35.75876879,-19.80447274,-40.32823859,-58.75973685,-66.04597354
13,-47.81410608,-45.61764626,-77.57098589,-36.97016234,-19.81020221,-42.18216082,-54.24270995,-76.34327524
14,-52.91759374,-33.45292829,-78.44886585,-38.12865576,-19.38384761,-42.38037182,-41.59849132,-76.542244
15,-54.77373705,-38.94429282,-70.457044,-36.92496936,-17.56152948,-44.42105377,-58.57193695,-77.86489169
16,-54.40460671,-38.20590466,-15.87195166,-37.9621829,-17.54371886,-42.02238234,-59.24386305,-77.65504937
17,-43.69424613,-38.57256387,-38.66105287,-41.47473233,-24.01795568,-32.50675568,-59.49784747,-78.27539742
18,-35.57740974,-41.83958361,-63.73902231,-35.54222845,-22.14256893,-36.15484308,-36.01802429,-78.90008155
19,-44.45912462,-46.79266556,-17.70515932,-35.65718639,-17.99591821,-35.50677495,-32.73656621,-68.16442272
20,-54.79947124,-45.08536253,-22.08485626,-44.25764814,-26.41067944,-32.08963003,-35.16385887,-70.87328276
21,-42.07426218,-43.87270011,-21.76934228,-39.8783535,-17.16463388,-35.74446745,-33.9721565,-76.74009142
22,-37.99876385,-38.19074987,-34.43279532,-42.712494,-19.26739924,-42.82862961,-39.08432364,-76.26274792
23,-44.95320334,-37.31603592,-75.96257413,-44.01390924,-18.29514256,-46.78946669,-40.1058215,-75.43251034
24,-40.21584482,-41.78088911,-69.06569924,-41.30063143,-22.77408793,-50.72383874,-44.69876503,-58.584246
25,-52.63870563,-44.72176729,-20.83729705,-47.53815059,-18.53868924,-46.13981345,-32.60452118,-56.01771176
26,-54.45680123,-51.81528446,-20.42217358,-39.68837783,-20.36470395,-41.92448013,-34.25666749,-75.82347421
27,-55.14273411,-47.09637282,-21.36055763,-39.74258262,-18.37834364,-36.48760195,-35.02655513,-48.272913
28,-53.71674261,-46.73931495,-31.59192949,-38.6541731,-19.58712081,-38.45861621,-55.78914161,-55.15088203
29,-42.0064009,-44.12624926,-54.12221697,-35.91660726,-19.49900137,-36.60758811,-44.41185318,-76.55835792
30,-43.89407439,-45.642323,-57.63954774,-34.98760152,-18.46794671,-45.73807503,-29.61410995,-77.07486679
31,-43.10833818,-49.05006187,-77.05690366,-37.11119241,-20.66147176,-50.08519316,-44.61840655,-51.11477718
32,-38.88304511,-41.69230055,-67.54315113,-40.4254134,-22.03005702,-45.82889095,-58.98472634,-70.78284326
33,-53.73968223,-47.153231,-54.62580782,-38.94962438,-16.18922005,-51.68276203,-59.35866277,-77.08012803
34,-46.52141368,-45.88248424,-53.4973175,-48.25067444,-23.53340214,-52.83358037,-54.74004389,-66.49276342
35,-44.91024276,-47.64757955,-70.47215579,-43.18377114,-21.64733305,-48.55836924,-46.22966692,-41.74893305
36,-40.87583466,-41.60823208,-47.32084333,-36.46297786,-21.64885133,-50.71955497,-55.83129439,-42.95415779
37,-53.85120136,-46.32429326,-74.03495982,-39.07230327,-20.39894262,-44.32573851,-59.04514715,-46.31691008
38,-55.27515008,-41.50970574,-78.50876853,-46.58596079,-18.24286359,-53.81040332,-50.11569289,-41.36226632
39,-46.22494374,-42.37380453,-37.97719746,-47.15485833,-19.992188,-50.13210263,-55.65366,-48.45165689
40,-54.61836408,-38.54178421,-20.15996334,-42.66604773,-16.36052843,-50.32194167,-54.23467964,-54.32309518
41,-55.06923855,-37.82585526,-23.57207095,-47.29171098,-23.26374051,-47.4874415,-60.10541003,-70.41687932
42,-53.03166597,-40.46241318,-64.96343947,-46.35774524,-23.01971448,-49.12728476,-60.48095876,-47.51927387
43,-50.06651768,-36.12134089,-40.79925731,-39.76973361,-20.5630215,-46.31045397,-51.68634982,-47.10696118
44,-54.2024471,-38.52311803,-19.10576108,-41.56153302,-17.34081922,-43.74080564,-39.13470969,-46.49182482
45,-54.78991479,-37.52525047,-28.7915805,-35.56783002,-19.40370779,-48.14720984,-38.93025142,-46.48597911
46,-54.53057542,-37.68609026,-24.97902641,-41.88584117,-18.23493538,-48.75536242,-43.80154197,-46.41972892
47,-51.41249144,-38.151991,-73.48309316,-41.89631493,-19.22837527,-39.02975067,-37.24794618,-50.88841341
48,-51.45425076,-38.5623065,-64.87441132,-40.87197195,-21.28158576,-36.21213582,-42.64263718,-59.08871574
49,-54.67399703,-40.89648889,-17.41453937,-41.43898027,-20.39196871,-40.27022303,-40.63431416,-58.16626147
50,-55.53275645,-40.77850537,-25.03318462,-36.77289169,-16.32670793,-44.19321216,-53.92523442,-59.23595966
51,-45.80467982,-37.12096251,-71.935635,-43.46437914,-20.22417217,-31.51133754,-57.76948836,-64.46697841
52,-51.30744103,-36.58089384,-40.72834792,-37.86187095,-17.25237969,-33.90502853,-57.22659811,-48.29463084
53,-45.03850976,-38.51772418,-77.02524644,-40.72402814,-20.71990237,-35.37368584,-52.34414739,-61.48388413
54,-54.76188133,-41.9249861,-47.37567658,-37.48239052,-20.53039812,-35.82901874,-54.86779464,-54.29755108
55,-47.10016476,-42.20808321,-76.81367416,-39.30778768,-17.39998231,-42.41086067,-33.08743055,-40.17433329
56,-41.314003,-38.49241582,-76.24499895,-40.84981071,-18.04072371,-47.08412939,-33.25302521,-49.65183
57,-53.16074361,-39.14437945,-23.90892774,-40.14305469,-17.93175502,-51.01859692,-54.32111182,-41.6620765
58,-39.16494241,-42.6885849,-26.33892926,-40.51502259,-21.5728146,-51.78255949,-58.82951049,-47.50868664
59,-47.24576176,-42.32471734,-34.72210424,-46.71835548,-17.36888612,-49.12888576,-52.46521124,-45.09950213
60,-55.22723787,-39.34042563,-74.71999369,-39.14191898,-17.0246999,-51.76000716,-42.44550745,-55.10201768
61,-42.72963285,-40.89986236,-49.88373792,-44.11909256,-16.9084565,-48.69203305,-54.40047908,-47.97550915
62,-38.40850495,-41.78724629,-21.07630845,-48.03815645,-19.86845946,-49.56379087,-32.37578845,-44.09737105
63,-43.17415661,-36.53408826,-19.27985561,-38.43388548,-18.09236383,-49.73100803,-51.624711,-46.8210185
64,-46.10098784,-33.84660308,-21.39630762,-38.61074544,-18.27523326,-49.80006653,-33.68814929,-64.36364558
65,-45.96470121,-34.18532787,-24.07988287,-47.5665731,-23.73813966,-49.51492208,-31.86520072,-73.44004718
66,-54.96328242,-41.85557529,-25.62210892,-48.81585755,-17.59046221,-51.16849779,-32.27192161,-50.71385679
67,-54.03169571,-42.94203168,-32.02905011,-41.661132,-16.22511474,-48.82792463,-49.53949671,-69.20127445
68,-54.71831263,-43.24777842,-76.73094346,-39.16159052,-19.87878383,-42.63451476,-60.6595675,-53.09325097
69,-43.71209756,-44.02450079,-75.84951179,-38.38931367,-21.49953936,-52.18950751,-34.71637713,-63.42198672
